Nume,Functie,Dieta,Personaj
Pravin Hodage,2d supervisor: NetFX Mumbai (2 episodes 2022),Flexitarian,Sirena
Cory Humes,animation supervisor: Folks VFX (3 episodes 2022),Apt,Varcolac
Siddarth Jambhulkar,compositor: Rocket Science VFX (2 episodes 2022),Vegetarian,Om
Mukesh Joshi,senior i/o coordinator: NetFX Mumbai (2 episodes 2022),Apt,Clarvazator
Simon Lecavalier,cg supervisor: MELS (2 episodes 2022),Vegetarian,Om
Christophe Longtin,visual effects artist: MELS (2 episodes 2022),Vegetarian,Varcolac
Oleg Memukhin,fx supervisor: Folks VFX (3 episodes 2022),Apt,Vampir
Waseem Mohammed,head of central production: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Sirena
Dany Richard,visual effects artist: MELS (2 episodes 2022),Apt,Clarvazator
Nisarg Suthar,lighting supervisor: Folks VFX (3 episodes 2022),Flexitarian,Clarvazator
Nitesh Sutrave,compositing supervisor: NetFX Mumbai (3 episodes 2022),Apt,Clarvazator
Sarvesh Talekar,roto artist: NetFX Mumbai (2 episodes 2022),Vegetarian,Varcolac
Himani Tyagi,junior paint artist: NetFX Mumbai (2 episodes 2022),Apt,Vampir
Waseem Ahmad Khan,paint artist: Stereo D (1 episode 2022),Flexitarian,Sirena
Rodrigo Albano,environment artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Don Carlo Alvir,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Om
Leanndro Amorim,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Seshadri Anand,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Vampir
Blake Anderson,visual effects supervisor: VFX Legion (1 episode 2022),Vegetarian,Om
Schuyler Anderson,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Edwin Arismendez,visual effects artist: MELS (2 episodes 2022),Flexitarian,Sirena
Jessica Bayliss,head of production: Monsters Aliens Robots Zombies (2 episodes 2022),Apt,Clarvazator
Sudhakar Bhavanasi,deputy manager: Stereo D (1 episode 2022),Vegetarian,Om
Alan Bisht,compositing artist: NetFX Mumbai (1 episode 2022),Flexitarian,Vampir
William Blanchette,visual effects artist: MELS (1 episode 2022),Flexitarian,Sirena
Jordan Boulais,visual effects artist: MELS (2 episodes 2022),Flexitarian,Clarvazator
J. Alan Bradshaw,head of cg: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Sirena
Peter Braeley,digital matte painter: Folks VFX (1 episode 2022),Flexitarian,Vampir
Charlotte Breton,visual effects editor: Folks VFX (1 episode 2022),Flexitarian,Om
Alex Bronfman,sales lead: Monsters Aliens Robots Zombies (2 episodes 2022),Apt,Vampir
Jonathan Bronfman,head of studio: Monsters Aliens Robots Zombies (2 episodes 2022),Vegetarian,Clarvazator
Dennis Chan,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Hardik Chauhan,senior compositing artist: NetFX Mumbai (1 episode 2022),Vegetarian,Clarvazator
Molly Chen,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Sujesh V. Chitty,concept artist: Folks VFX (1 episode 2022),Flexitarian,Sirena
Nolan Conrad,digital compositor: VFX Legion (1 episode 2022),Vegetarian,Clarvazator
Andr�s Couturier,graphic artist: VFX Legion (1 episode 2022),Apt,Clarvazator
Madhu Dasyapu,assistant roto supervisor: Stereo D (1 episode 2022),Flexitarian,Sirena
Rodrigo de Angelis,fx artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Om
Sofia Diaz,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Vampir
Maya Dumont-Deslandes,visual effects studio manager: MELS (1 episode 2022),Vegetarian,Clarvazator
Abdullah Ecirli,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Clarvazator
Manoj Kumar Elangovan,tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Michael Enzbrunner,animation lead: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Timothy Fleur,creature artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Varcolac
Adam Fok,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Sirena
Gil Franco,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Vampir
Emily Funk,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Antonio Gallardo,visual effects producer: VFX Legion (1 episode 2022),Flexitarian,Clarvazator
Gregory Galliani,modeling lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Igor Garanovschii,matte painter: Rocket Science VFX (1 episode 2022),Flexitarian,Clarvazator
Kunal Ghai,paint artist: Stereo D (1 episode 2022),Vegetarian,Vampir
Rakan Ghresi,fx artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Sirena
Jimmy Gill,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Clarvazator
Yash Gowda,head of 2d: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Varcolac
Jameer Haider,paint artist: NetFX Mumbai (1 episode 2022),Flexitarian,Clarvazator
Lewis Hawkes,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Om
Jim Hillin,visual effects lighter Ghost VFX Toronto (1 episode 2022),Vegetarian,Clarvazator
Curtis Hsiung,animator: Rocket Science VFX (2 episodes 2022),Apt,Om
Chen Kuang Hsu,tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Varcolac
Salvatore Iamonte,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Vampir
Pragati Jana,paint artist: Stereo D (1 episode 2022),Flexitarian,Varcolac
Juyong Jeon,visual effects artist (2 episodes 2022),Vegetarian,Vampir
Kenny Jia,digital matte painter lead: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Varcolac
Laszlo Kalbache,asset artist: Rocket Science VFX (1 episode 2022),Vegetarian,Varcolac
Ashraf Karim,senior compositing artist: NetFX Mumbai (1 episode 2022),Flexitarian,Vampir
Sharad Kate,paint artist: Stereo D (1 episode 2022),Apt,Sirena
Min Kim,compositing supervisor: Folks VFX (2 episodes 2022),Flexitarian,Clarvazator
Jamie Knoop,visual effects production assistant: Stereo D (1 episode 2022),Flexitarian,Varcolac
Ashwini Lad,visual effects administrator: Stereo D (1 episode 2022),Apt,Sirena
Nadege Lagueux-Beloin,visual effects artist: MELS (1 episode 2022),Flexitarian,Varcolac
Tukaram Landbale,roto artist: NetFX Mumbai (1 episode 2022),Vegetarian,Om
Dany Lebrasseur,visual effects artist: MELS (1 episode 2022),Vegetarian,Vampir
Kate T.C. Lin,digital compositor: VFX Legion (1 episode 2022),Vegetarian,Sirena
Matthias Lowry,digital compositor: VFX Legion (1 episode 2022),Vegetarian,Clarvazator
Jimmy Lue,visual effects coordinator: Folks VFX (1 episode 2022),Flexitarian,Varcolac
Jim Maxwell,matte painter: Take 5 VFX (2 episodes 2022),Apt,Varcolac
Jay Mehta,paint artist: NetFX Mumbai (1 episode 2022),Vegetarian,Om
Kristine Middlemiss,head of technology: Monsters Aliens Robots Zombies (2 episodes 2022),Apt,Sirena
Ali Mio,visual effects producer: Rocket Science VFX (2 episodes 2022),Flexitarian,Clarvazator
Guto Miranda,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Vashishta Mohit,compositing artist: NetFX Mumbai (1 episode 2022),Apt,Varcolac
Lon Molnar,head of studio: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Varcolac
Jose Ignacio Narv�ez Monroy,compositing lead: Mr. X (2 episodes 2022),Apt,Varcolac
Atyeb Muneer,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Varcolac
Ganesh Ramdas Nalle,senior roto artist: NetFX Mumbai (1 episode 2022),Vegetarian,Vampir
Michael Naphan,layout artist: Rocket Science VFX (1 episode 2022),Vegetarian,Om
Marla Oriol,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Clarvazator
Daksh Pandya,visual effects artist (2 episodes 2022),Flexitarian,Sirena
Niki Patterson,data technician: Stereo D (1 episode 2022),Vegetarian,Sirena
Aravind Pauldurai,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Om
Victor Perez,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Om
Navin Pinto,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Varcolac
Norman Ran,fx lead: Rocket Science VFX (1 episode 2022),Vegetarian,Om
Parastu Rezaie,lighting lead: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Jean-Christophe Rodier,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Clarvazator
Dmitry Ryabchuk,environment lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Maryam Salehi,i/o: MELS (1 episode 2022),Apt,Clarvazator
Rajvinder Sandhu,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Vampir
Eric Sanford,creature lead: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Om
Rohan Sapkal,junior roto artist: NetFX Mumbai (1 episode 2022),Flexitarian,Varcolac
Alexandre Savard-Boisvert,digital compositor (1 episode 2022),Apt,Om
Mark Schreiber,animator (1 episode 2022),Vegetarian,Varcolac
Aryan Sehgal,utility compositor (1 episode 2022),Vegetarian,Clarvazator
Ronak Shah,fx lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Clarvazator
Neelima Sharma,compositor: NetFX Mumbai (1 episode 2022),Flexitarian,Vampir
Vishal Shitole,i/o coordinator: NetFX Mumbai (1 episode 2022),Flexitarian,Clarvazator
Casey Sincic,visual effects producer: Monsters Aliens Robots Zombies (2 episodes 2022),Apt,Om
Lovelesh Singh,compositing artist: NetFX Mumbai (1 episode 2022),Flexitarian,Om
Kalpana Mahapatro Siromani,art director & mattepainting lead (1 episode 2022),Apt,Om
Joseph Soloway,visual effects coordinator: VFX Legion (1 episode 2022),Vegetarian,Clarvazator
Meredith Sproul,show coordinator: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Varcolac
Danny Testani,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Sirena
Ali Thaheem,creature artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Clarvazator
Hyacinthe Thomas,i/o: MELS (1 episode 2022),Flexitarian,Om
Phillip Thomas,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Susana Vasquez,visual effects production coordinator: Take 5 VFX (2 episodes 2022),Flexitarian,Vampir
Marcus Vinicius,i/o: MELS (1 episode 2022),Apt,Om
Louis Vottero,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Varcolac
Tina Vuu,visual effects coordinator: VFX Legion (1 episode 2022),Flexitarian,Clarvazator
Tanja Wax,fx artist: Rocket Science VFX (1 episode 2022),Apt,Om
Christina Wise,head of studio: MELS (1 episode 2022),Vegetarian,Om
Jill Wu,digital matte painter: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Alphonso Young,matte painter: Take 5 VFX (2 episodes 2022),Apt,Om
Refo Yovarda,visual effects production assistant: Stereo D (1 episode 2022),Apt,Vampir
Virpalsinh Zala,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Vampir
Abin Abraham,assets lead: MPC (uncredited) (8 episodes 2022),Apt,Om
Adrian Bobb,creature artist (uncredited) (8 episodes 2022),Flexitarian,Clarvazator
Eddie Bonin,visual effects executive: Netflix (uncredited) (8 episodes 2022),Flexitarian,Om
R�mi Bruschini,pipeline td (uncredited) (8 episodes 2022),Flexitarian,Vampir
Binod Kumar Das,asset supervisor: MPC (uncredited) (8 episodes 2022),Vegetarian,Om
Tiago Foa,imaging engineer: Mr. X (uncredited) (8 episodes 2022),Vegetarian,Vampir
Jaime Fok,visual effects editorial lead (uncredited) (8 episodes 2022),Vegetarian,Varcolac
J.P. Giamos,head of production: Rocket Science VFX (uncredited) (8 episodes 2022),Vegetarian,Om
Martin Hesselink,Animation Supervisor (uncredited) (8 episodes 2022),Vegetarian,Clarvazator
Rushikesh Chandrashekhar Kamble,3d digital matte painter (uncredited) (8 episodes 2022),Apt,Clarvazator
Daniel May,visual effects art direction (uncredited) (8 episodes 2022),Vegetarian,Sirena
Rachad Meya,lighting supervisor (uncredited) (8 episodes 2022),Vegetarian,Om
Shoupal Panda,texture & lookdev artist (uncredited) (8 episodes 2022),Vegetarian,Clarvazator
Josephin Peichl,visual effects coordinator: Netflix (uncredited) (8 episodes 2022),Flexitarian,Vampir
Rakesh,3d digital matte painter lead (uncredited) (8 episodes 2022),Vegetarian,Clarvazator
Kim Rampaul,visual effects coordinator: Netflix (uncredited) (8 episodes 2022),Vegetarian,Om
Saha Saikat,texturing & lookdev artist (uncredited) (7 episodes 2022),Vegetarian,Vampir
Seema Schere,matte painter: Monsters Aliens Robots Zombies (uncredited) (8 episodes 2022),Vegetarian,Vampir
Surajit Senapati,3d artist (uncredited) (8 episodes 2022),Flexitarian,Varcolac
Satyendra Sharma,compositor: MPC (uncredited) (8 episodes 2022),Flexitarian,Sirena
Prathamesh Ashok Waykole,asset artist: MPC (uncredited) (8 episodes 2022),Flexitarian,Vampir
Dean Wright,visual effects executive: MGM Television (uncredited) (8 episodes 2022),Flexitarian,Vampir
Dylan Botnarenko,digital matte painter: MPC (uncredited) (6 episodes 2022),Vegetarian,Om
Arjun Jasmeet Chawla,digital compositor: MPC (uncredited) (5 episodes 2022),Apt,Clarvazator
Dennis Tae Wook Kim,digital compositor (uncredited) (5 episodes 2022),Apt,Clarvazator
Hoss Ghaith,cg supervisor (uncredited) (3 episodes 2022),Apt,Vampir
Solyi Ha,compositor: Folks VFX (uncredited) (4 episodes 2022),Apt,Om
Caylee Han,compositor: Folks VFX (uncredited) (4 episodes 2022),Apt,Clarvazator
Krista Wettlaufer,digital artist (uncredited) (3 episodes 2022),Apt,Om
Christopher Lee Zammit,concept artist (uncredited) (4 episodes 2022),Apt,Vampir
Felipe Baldo,lighting artist: Folks VFX (uncredited) (3 episodes 2022),Apt,Varcolac
Marc-Antoine Blais,digital compositor (uncredited) (2 episodes 2022),Vegetarian,Varcolac
Adrien Francomme,digital compositor (uncredited) (2 episodes 2022),Vegetarian,Sirena
Eduardo Gon�alves,digital compositor: Monsters Aliens Robots Zombies (uncredited) (2 episodes 2022),Apt,Om
Alexander Greenberg,senior compositor: Monsters Aliens Robots Zombies (uncredited) (2 episodes 2022),Flexitarian,Varcolac
Prashant Jain,3d digital matte painter (uncredited) (3 episodes 2022),Apt,Sirena
Hossein Karamian,compositor: Monsters Aliens Robots Zombies (uncredited) (2 episodes 2022),Apt,Om
Giuseppe Motta,creature supervisor (uncredited) (3 episodes 2022),Flexitarian,Vampir
Chokkarapu Sai Pradeep,visual effects lighting artist (uncredited) (2 episodes 2022),Vegetarian,Clarvazator
Pedro Roloff,digital compositor (uncredited) (2 episodes 2022),Apt,Varcolac
Ilija Sazdovski,layout artist (uncredited) (3 episodes 2022),Apt,Sirena
Jason Schick,digital compositor (uncredited) (2 episodes 2022),Vegetarian,Varcolac
Christa Tazzeo,visual effects executive producer: Rocket Science VFX (uncredited) (3 episodes 2022),Apt,Clarvazator
Sekh Batul Ali,visual effects artist (uncredited) (1 episode 2022),Apt,Sirena
Luca Buonopane,key groom artist: MPC (uncredited) (1 episode 2022),Flexitarian,Sirena
Julian Fadalti,layout artist (uncredited) (1 episode 2022),Apt,Sirena
Nitin Garg,senior lookdev artist: Folks VFX (uncredited) (1 episode 2022),Vegetarian,Vampir
Avinash Kodali,lighting artist (uncredited) (1 episode 2022),Apt,Om
Genevieve Morneau,digital compositor: MELS (uncredited) (1 episode 2022),Vegetarian,Varcolac
Alex Park,matchmove artist: Folks VFX (uncredited) (1 episode 2022),Flexitarian,Clarvazator
Evan Roberts,lighting artist (uncredited) (1 episode 2022),Flexitarian,Sirena
Pavankumar Sagiraju,lighting artist (uncredited) (1 episode 2022),Vegetarian,Vampir
Yulia Segura,compositor: Folks VFX (uncredited) (1 episode 2022),Flexitarian,Clarvazator
Amarjit Singha,3d artist (uncredited) (1 episode 2022),Apt,Sirena
Brett Chan,stunt coordinator (8 episodes 2022),Vegetarian,Om
Ionut Cotruta,stunt rigger (8 episodes 2022),Flexitarian,Clarvazator
Jason Ng,assistant stunt coordinator / cover stunt coordinator (8 episodes 2022),Flexitarian,Om
Jenny Umbhau,stunt double: Jenna Ortega (8 episodes 2022),Flexitarian,Sirena
Fanel Ursu,stunt rigger (8 episodes 2022),Apt,Om
Andrei Vintileanu,stunt rigger (8 episodes 2022),Vegetarian,Clarvazator
Daniel Visan,stunts (8 episodes 2022),Apt,Varcolac
Nailah Johnson,stunt double: Joy Sunday / stunt performer (2 episodes 2022),Vegetarian,Clarvazator
Kinga Kives,stunt performer (3 episodes 2022),Vegetarian,Varcolac
Alexandre Lopoka,stunt double: Tommie Earl Jenkins (2 episodes 2022),Vegetarian,Clarvazator
Milena Brewster,stunt double: Johnna Dias-Watson (1 episode 2022),Flexitarian,Sirena
Maxime Coulon,stunt double: Calum Ross (1 episode 2022),Apt,Sirena
Gabrielle Anne Desy,stunt double: Emma Myers (1 episode 2022),Flexitarian,Vampir
Victoria Goodman,stunt performer (1 episode 2022),Apt,Clarvazator
Daniel Himschoot,stunt double: Percy White (1 episode 2022),Flexitarian,Sirena
Matt Kennedy,stunt performer (1 episode 2022),Apt,Vampir
Kaanchana Kerr,stunt performer (2 episodes 2022),Apt,Vampir
Darlene Pineda,stunt performer (1 episode 2022),Apt,Om
Phedra Syndelle,stunt double: Joy Sunday (1 episode 2022),Vegetarian,Clarvazator
Alexandra Vilcsek,stunt performer (1 episode 2022),Vegetarian,Vampir
Don�t B�nkuti,digital imaging technician: second unit (8 episodes 2022),Vegetarian,Vampir
Vlad Cioplea,still photographer (8 episodes 2022),Flexitarian,Sirena
David Dorohoianu,second photography assistant (8 episodes 2022),Vegetarian,Sirena
Omar Dughouz,"second assistant camera: ""a"" camera (8 episodes 2022)",Flexitarian,Sirena
D�niel Farkas,digital imaging technician (8 episodes 2022),Vegetarian,Varcolac
Robert Fenichiu,electrician / lighting technician (8 episodes 2022),Flexitarian,Vampir
Cristi Fratoaica,second assistant camera: second unit (8 episodes 2022),Apt,Vampir
Toni Ilinca,video operator (8 episodes 2022),Vegetarian,Om
Ochiana Ionut,video assist operator (8 episodes 2022),Vegetarian,Vampir
Andrei Karastanef,"second assistant camera: ""a"" camera (8 episodes 2022)",Vegetarian,Sirena
Brad Larner,"first assistant camera: ""a"" camera (8 episodes 2022)",Vegetarian,Vampir
Tudor Lucaciu,director of photography: second unit (8 episodes 2022),Flexitarian,Sirena
Radu Marinescu,key grip (8 episodes 2022),Flexitarian,Om
Florin Mihalache,gaffer (8 episodes 2022),Apt,Varcolac
Mihai Adrian Olteanu,best boy electric (8 episodes 2022),Flexitarian,Varcolac
Andrei Petrescu,electrician (8 episodes 2022),Flexitarian,Om
Liviu Pojoni Jr.,"camera operator: ""b"" camera (8 episodes 2022)",Vegetarian,Clarvazator
Florea Andrei Stefan,dimmerboard operator/lighting console programmer (8 episodes 2022),Apt,Vampir
Viorel Stefan,crane operator (8 episodes 2022),Vegetarian,Vampir
Adelina Vancea,camera trainee (8 episodes 2022),Apt,Clarvazator
Petre Victor,"camera operator: ""b"" camera (8 episodes 2022)",Vegetarian,Vampir
Rob Arrowsmith,"camera operator: ""a"" camera/steadicam operator main unit (4 episodes 2022)",Flexitarian,Om
Andrei Cretan,"first assistant camera: ""b"" camera (4 episodes 2022)",Apt,Sirena
Fabrizio Sciarra,"camera operator: ""a"" camera/steadicam operator main unit (4 episodes 2022)",Vegetarian,Om
Boroka Biro,director of photography: epk (2 episodes 2022),Apt,Om
Valdas Gulbinauskas,video assistant: additional photography (2 episodes 2022),Apt,Clarvazator
Matei Popa,second assistant camera: second unit (2 episodes 2022),Apt,Clarvazator
S�ndor �rkus,data management technician (2 episodes 2022),Flexitarian,Vampir
Cornel Biciu,underwater gaffer (1 episode 2022),Apt,Varcolac
Neil Bradley,ronin 2 technician: additional photography (1 episode 2022),Vegetarian,Clarvazator
Alexandru Durac,"camera operator: ""a"" camera/steadicam operator (1 episode 2022)",Apt,Varcolac
Sarbu Gigi,key grip: second unit (1 episode 2022),Apt,Om
Ben Parish,underwater assistant camera (1 episode 2022),Vegetarian,Om
Aurelian Radu,grip (2 episodes 2022),Vegetarian,Vampir
Ian Seabrook,underwater director of photography (1 episode 2022),Flexitarian,Om
Constantin Stan,second unit (1 episode 2022),Flexitarian,Clarvazator
Alexandru Bogdan Stefan,crane technician (2 episodes 2022),Flexitarian,Vampir
Bal�zs V�rszegi,data management technician (2 episodes 2022),Apt,Clarvazator
Jens Winkler,underwater assistant camera (1 episode 2022),Apt,Vampir
Catalin Popa,photography assistant (uncredited) (8 episodes 2022),Flexitarian,Clarvazator
Peter Driscoll,key animator (1 episode 2022),Flexitarian,Om
Whitney Strouth,animator (uncredited) (1 episode 2022),Apt,Varcolac
Emily Bohbrink,casting associate (8 episodes 2022),Vegetarian,Sirena
Sin�ad Donnelly,casting assistant: Jenna Ortega (8 episodes 2022),Apt,Vampir
Radu Dragoi,casting assistant (8 episodes 2022),Flexitarian,Om
Frankie Fearis,casting assistant (8 episodes 2022),Vegetarian,Varcolac
Olissa Rogers,casting associate: Jenna Ortega (8 episodes 2022),Apt,Om
Chandra Ruegg,casting associate (8 episodes 2022),Vegetarian,Vampir
Fiona Weir,casting: Jenna Ortega (8 episodes 2022),Vegetarian,Vampir
Sarah Wilson,casting associate (8 episodes 2022),Vegetarian,Vampir
Maddalena Zuppetta,casting assistant (8 episodes 2022),Vegetarian,Om
George Ludlow,casting associate (3 episodes 2022),Apt,Varcolac
Ioana Albaiu,wardrobe supervisor (8 episodes 2022),Apt,Om
Madalina Anton,breakdown artist (8 episodes 2022),Apt,Vampir
Mattia Bionda,principal costume cutter (8 episodes 2022),Apt,Clarvazator
Mariana Bujoi,costumer (8 episodes 2022),Vegetarian,Varcolac
Maria Ciucanu,wardrobe mistress (8 episodes 2022),Flexitarian,Clarvazator
Ylenia Comerci,principal seamstress (8 episodes 2022),Vegetarian,Varcolac
Lavinia Dedu,set costumer (8 episodes 2022),Apt,Varcolac
Constantinescu Denisa,wardrobe assistant (8 episodes 2022),Vegetarian,Sirena
Andreea Dinu,principal standby (8 episodes 2022),Apt,Om
Maria Endara,senior costume maker (8 episodes 2022),Vegetarian,Sirena
Cristina Ghergheli,set costumer (8 episodes 2022),Apt,Varcolac
Megan Howell,senior costume maker (8 episodes 2022),Apt,Om
Daniela Ilin,set costumer (8 episodes 2022),Vegetarian,Om
Benjamin Ip,costume concept artist (8 episodes 2022),Vegetarian,Vampir
Ana Lazar,wardrobe assistant (8 episodes 2022),Flexitarian,Om
Paula Lazaroni,breackdown artist (8 episodes 2022),Apt,Varcolac
Twan Lentjes,principal costume maker (8 episodes 2022),Vegetarian,Sirena
Ioana Mihailescu,wardrobe assistant / crowd standby costumer / crowd stand-by costumer (8 episodes 2022),Vegetarian,Om
Alessio O'Driscoll,principle costume cutter (8 episodes 2022),Apt,Vampir
Ioana Somanescu,principal standby (8 episodes 2022),Apt,Vampir
Bobby Soutar,assistant costume designer (8 episodes 2022),Flexitarian,Om
Mark Sutherland,costume co-designer (8 episodes 2022),Apt,Sirena
Beth Tilley,senior costume maker (8 episodes 2022),Flexitarian,Om
Jess Willcock-Stow,junior assistant costume designer / junior assistant costume designerr (8 episodes 2022),Apt,Sirena
Elizabeta Zainea,wardrobe assistant (8 episodes 2022),Apt,Sirena
Marta Airoli,principal seamstress (5 episodes 2022),Apt,Vampir
Ian Frazer Wallace,principle cutter (5 episodes 2022),Apt,Clarvazator
Adina Bucur,costume supervisor (4 episodes 2022),Flexitarian,Om
Claudia Littlefield,costume supervisor (3 episodes 2022),Flexitarian,Varcolac
Alina Caprian,additional costumer (1 episode 2022),Flexitarian,Clarvazator
Madison D'Urbano,post-production assistant: Marc Graue Recording Studios (8 episodes 2022),Flexitarian,Varcolac
Bogdan Geambasu,dailies operator (8 episodes 2022),Apt,Vampir
Katherine Hul,post production supervisor (8 episodes 2022),Apt,Sirena
Razvan Ilinca,assistant editor (8 episodes 2022),Vegetarian,Sirena
Tom Mayclim,data manager: Company 3 (8 episodes 2022),Vegetarian,Om
Ian Passy,Color Assistant (8 episodes 2022),Apt,Varcolac
Sebastian Plamadeala,dailies supervisor (8 episodes 2022),Vegetarian,Sirena
Carmen Rizac,dailies coordinator (8 episodes 2022),Apt,Varcolac
Joanne Rourke,senior colorist (7 episodes 2022),Flexitarian,Clarvazator
Alexandru Stoica,dailies operator (8 episodes 2022),Apt,Sirena
Ian Sullivan,finishing accountant (8 episodes 2022),Vegetarian,Varcolac
Lavinia Terletchi,assistant editor (8 episodes 2022),Vegetarian,Varcolac
Viktorija Tupikaite,data i/o operator (8 episodes 2022),Vegetarian,Varcolac
Motassem Younes,on-line editor (8 episodes 2022),Flexitarian,Vampir
Galina Chakarova,first assistant editor (4 episodes 2022),Vegetarian,Varcolac
Mihai Cosmin Popa,first assistant editor (4 episodes 2022),Apt,Om
Paul G. Day,additional editor (1 episode 2022),Apt,Om
Cristi Dogaru,assistant location manager (8 episodes 2022),Flexitarian,Clarvazator
Calin Hagima,location manager (8 episodes 2022),Apt,Varcolac
Tracey Savein,location scout (8 episodes 2022),Apt,Clarvazator
Alex Molea,supervising location manager (4 episodes 2022),Vegetarian,Sirena
Mircea Paraschiv,location manager (4 episodes 2022),Flexitarian,Varcolac
Florin Patrascu,assistant location manager (4 episodes 2022),Flexitarian,Sirena
Chris Bacon,composer: additional music (8 episodes 2022),Vegetarian,Sirena
Sarah Chapeck,music coordinator (8 episodes 2022),Flexitarian,Vampir
Norbert Elek,music preparation (8 episodes 2022),Vegetarian,Vampir
Danny Elfman,theme music composer (8 episodes 2022),Vegetarian,Sirena
Peter Kohrman,technical score engineer (8 episodes 2022),Vegetarian,Clarvazator
Jen Malone,music supervisor (8 episodes 2022),Vegetarian,Vampir
Mandy Mamlet,music executive (8 episodes 2022),Apt,Varcolac
�lveti M�ty�s,cello solos by (8 episodes 2022),Vegetarian,Om
Michael T. Ryan,music editor (8 episodes 2022),Flexitarian,Om
B�lint Sapszon,contractor for Budapest Scoring (8 episodes 2022),Flexitarian,Varcolac
Viktor Szab�,recording engineer (8 episodes 2022),Apt,Sirena
Nicole Weisberg,music supervisor (8 episodes 2022),Vegetarian,Clarvazator
Shachar Boussani,score mix assistant (6 episodes 2022),Vegetarian,Sirena
Robert Litton,orchestrator (6 episodes 2022),Flexitarian,Vampir
Noah Scot Snyder,music scoring mixer (6 episodes 2022),Vegetarian,Sirena
Esin Aydingoz,arranger (3 episodes 2022),Flexitarian,Sirena
Hemanth965,orchestrator: theme melody (3 episodes 2022),Apt,Sirena
Steve Bartek,orchestrator (2 episodes 2022),Apt,Varcolac
Bence Bob�k,score engineer (2 episodes 2022),Apt,Clarvazator
David G. Russell,conforming (2 episodes 2022),Flexitarian,Clarvazator
Greg Hayes,music scoring mixer (1 episode 2022),Vegetarian,Vampir
Bri Holland,singer (1 episode 2022),Apt,Sirena
Alfredo Pasquel,score mix assistant (1 episode 2022),Apt,Vampir
Cristina B�lea,assistant script supervisor (8 episodes 2022),Apt,Clarvazator
Monica Tatu,script supervisor (8 episodes 2022),Apt,Sirena
Daniel Sipocz,service driver (8 episodes 2022),Flexitarian,Clarvazator
